page,product_id,product_name,old_url,new_url,status
38,13600409,Rear bumpers,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24711346_9b0d23e9-0431-4a5b-abfb-5079b3bdabab.jpg,https://static.recar.lt/images/JVlNnjdlRy/24711346_9b0d23e9-0431-4a5b-abfb-5079b3bdabab.jpg,UPDATED
38,13600409,Rear bumpers,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24711346_c3dd316d-d439-4cbb-b6ae-7818157737f7.jpg,https://static.recar.lt/images/JVlNnjdlRy/24711346_c3dd316d-d439-4cbb-b6ae-7818157737f7.jpg,UPDATED
38,13600410,Bonnet Release Handle,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24711382_74a70239-b26c-4f72-b228-3047337d3e1c.jpg,https://static.recar.lt/images/JVlNnjdlRy/24711382_74a70239-b26c-4f72-b228-3047337d3e1c.jpg,UPDATED
38,13600410,Bonnet Release Handle,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24711382_7761e2fc-977b-480e-9f1b-704c225b6f43.jpg,https://static.recar.lt/images/JVlNnjdlRy/24711382_7761e2fc-977b-480e-9f1b-704c225b6f43.jpg,UPDATED
38,13600411,Bootlid Antenna Amplifier,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24711391_6b51bdca-7553-4b74-8b55-aaa4729eb5ae.jpg,https://static.recar.lt/images/JVlNnjdlRy/24711391_6b51bdca-7553-4b74-8b55-aaa4729eb5ae.jpg,UPDATED
38,13600411,Bootlid Antenna Amplifier,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24711391_988322d7-f3aa-40b0-9fbd-9c0c9e95213b.jpg,https://static.recar.lt/images/JVlNnjdlRy/24711391_988322d7-f3aa-40b0-9fbd-9c0c9e95213b.jpg,UPDATED
38,13600412,Battery Pad,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24711384_654d1155-e161-4332-b486-62d7207bd006.jpg,https://static.recar.lt/images/JVlNnjdlRy/24711384_654d1155-e161-4332-b486-62d7207bd006.jpg,UPDATED
38,13600412,Battery Pad,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24711384_9887282e-18d6-4171-8832-f890247af0e7.jpg,https://static.recar.lt/images/JVlNnjdlRy/24711384_9887282e-18d6-4171-8832-f890247af0e7.jpg,UPDATED
38,13600413,Navigation Display,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24711389_3bee1fef-d234-4e4d-b08b-45cf2df85878.jpg,https://static.recar.lt/images/JVlNnjdlRy/24711389_3bee1fef-d234-4e4d-b08b-45cf2df85878.jpg,UPDATED
38,13600413,Navigation Display,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24711389_53b6eaf4-9da3-4c1d-93bc-d521c6289415.jpg,https://static.recar.lt/images/JVlNnjdlRy/24711389_53b6eaf4-9da3-4c1d-93bc-d521c6289415.jpg,UPDATED
38,13600414,Loudspeaker cover,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24711388_619ffb61-eb83-4921-a643-9d461ea70dcf.jpg,https://static.recar.lt/images/JVlNnjdlRy/24711388_619ffb61-eb83-4921-a643-9d461ea70dcf.jpg,UPDATED
38,13600414,Loudspeaker cover,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24711388_7f9ee72d-fe64-4e2c-8756-142d492816c3.jpg,https://static.recar.lt/images/JVlNnjdlRy/24711388_7f9ee72d-fe64-4e2c-8756-142d492816c3.jpg,UPDATED
39,13600415,Loudspeaker cover,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24711387_38219186-f82d-4707-b285-7a30f5b625fc.jpg,https://static.recar.lt/images/JVlNnjdlRy/24711387_38219186-f82d-4707-b285-7a30f5b625fc.jpg,UPDATED
39,13600415,Loudspeaker cover,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24711387_546e4c5f-b7d6-4625-81c2-79085f11f7fd.jpg,https://static.recar.lt/images/JVlNnjdlRy/24711387_546e4c5f-b7d6-4625-81c2-79085f11f7fd.jpg,UPDATED
39,13600416,Lambda Oxygen Sensor,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24711396_5b14f668-5601-4500-b4fe-aba5148354c1.jpg,https://static.recar.lt/images/JVlNnjdlRy/24711396_5b14f668-5601-4500-b4fe-aba5148354c1.jpg,UPDATED
39,13600416,Lambda Oxygen Sensor,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24711396_7834adc2-2b07-4090-912f-d327a1076d73.jpg,https://static.recar.lt/images/JVlNnjdlRy/24711396_7834adc2-2b07-4090-912f-d327a1076d73.jpg,UPDATED
39,13600417,Crankshaft Position Sensor,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24711398_f9c2d700-9817-41b5-adc6-e6103abab4ab.jpg,https://static.recar.lt/images/JVlNnjdlRy/24711398_f9c2d700-9817-41b5-adc6-e6103abab4ab.jpg,UPDATED
39,13600417,Crankshaft Position Sensor,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24711398_9c26ff68-9549-4137-b558-2b50ec218ec8.jpg,https://static.recar.lt/images/JVlNnjdlRy/24711398_9c26ff68-9549-4137-b558-2b50ec218ec8.jpg,UPDATED
39,13600418,Bootlid Antenna Amplifier,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24711406_b0bb314a-efc7-49ed-8fca-e84c83a8ba1e.jpg,https://static.recar.lt/images/JVlNnjdlRy/24711406_b0bb314a-efc7-49ed-8fca-e84c83a8ba1e.jpg,UPDATED
39,13600418,Bootlid Antenna Amplifier,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24711406_58751203-f954-4452-90d5-015267df1e33.jpg,https://static.recar.lt/images/JVlNnjdlRy/24711406_58751203-f954-4452-90d5-015267df1e33.jpg,UPDATED
39,13600419,Interior Heater Flap Motor Actuator,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24711403_2b91f072-a2fe-4514-8b46-816173b8e8cd.jpg,https://static.recar.lt/images/JVlNnjdlRy/24711403_2b91f072-a2fe-4514-8b46-816173b8e8cd.jpg,UPDATED
39,13600419,Interior Heater Flap Motor Actuator,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24711403_0bfc83ba-c9c1-4e4b-9a3c-d535d6f1493b.jpg,https://static.recar.lt/images/JVlNnjdlRy/24711403_0bfc83ba-c9c1-4e4b-9a3c-d535d6f1493b.jpg,UPDATED
39,13600420,Rear right door,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24711407_1d951213-5bca-4849-bff5-86bdd8742b7a.jpg,https://static.recar.lt/images/JVlNnjdlRy/24711407_1d951213-5bca-4849-bff5-86bdd8742b7a.jpg,UPDATED
39,13600420,Rear right door,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24711407_02c146cd-1700-47e6-b9e1-73eb26a77dd4.jpg,https://static.recar.lt/images/JVlNnjdlRy/24711407_02c146cd-1700-47e6-b9e1-73eb26a77dd4.jpg,UPDATED
39,13600421,Breather hose,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24711413_20934710-9d29-4047-b686-4eb604597a3c.jpg,https://static.recar.lt/images/JVlNnjdlRy/24711413_20934710-9d29-4047-b686-4eb604597a3c.jpg,UPDATED
39,13600421,Breather hose,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24711413_bf98ac9c-a0b9-4364-8761-61506dd722de.jpg,https://static.recar.lt/images/JVlNnjdlRy/24711413_bf98ac9c-a0b9-4364-8761-61506dd722de.jpg,UPDATED
39,13600382,Front Right Seat Buckle,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24709805_05e7b3ad-572f-4027-835b-a7aa5c003834.jpg,https://static.recar.lt/images/JVlNnjdlRy/24709805_05e7b3ad-572f-4027-835b-a7aa5c003834.jpg,UPDATED
39,13600382,Front Right Seat Buckle,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24709805_8303a0ec-3b85-488b-b72b-eb782bcc9d5f.jpg,https://static.recar.lt/images/JVlNnjdlRy/24709805_8303a0ec-3b85-488b-b72b-eb782bcc9d5f.jpg,UPDATED
39,13600383,Rear Right Seat Buckle,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24709803_279f9bb9-8d9a-4df4-bbd9-47cdea0cc85e.jpg,https://static.recar.lt/images/JVlNnjdlRy/24709803_279f9bb9-8d9a-4df4-bbd9-47cdea0cc85e.jpg,UPDATED
39,13600383,Rear Right Seat Buckle,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24709803_e6693a9d-7cba-4a2a-98d6-d770b2aad6fe.jpg,https://static.recar.lt/images/JVlNnjdlRy/24709803_e6693a9d-7cba-4a2a-98d6-d770b2aad6fe.jpg,UPDATED
39,13600384,Rear Middle Seatbelt,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24709807_df08f712-8356-4ca4-8429-6aa3f2d992f3.jpg,https://static.recar.lt/images/JVlNnjdlRy/24709807_df08f712-8356-4ca4-8429-6aa3f2d992f3.jpg,UPDATED
39,13600384,Rear Middle Seatbelt,https://d1ef4a9755q128.cloudfront.net/images/JVlNnjdlRy/1050x700/24709807_3d629d4f-daa6-4965-a545-8d256adde699.jpg,https://static.recar.lt/images/JVlNnjdlRy/24709807_3d629d4f-daa6-4965-a545-8d256adde699.jpg,UPDATED
